领域代码,领域,地区代码(M49),地区,要素代码,要素,科目代码(CPC),科目,年份代码,年份,单位,值,标识,标识描述,说明
SCL,供应利用账目(2010-),682,沙特阿拉伯,5610,进口数量,1221,西瓜,2022,2022,t,9179.84,I,Imputedvalue,
SCL,供应利用账目(2010-),682,沙特阿拉伯,5910,出口数量,1221,西瓜,2022,2022,t,2.14,X,Figurefrominternationalorganizations,Estimateddatausingtradingpartnersdatabase
SCL,供应利用账目(2010-),682,沙特阿拉伯,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,559044.58,E,Estimatedvalue,
SCL,供应利用账目(2010-),682,沙特阿拉伯,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,8.61,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),682,沙特阿拉伯,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,42.07,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),764,泰国,5510,Production,1221,西瓜,2022,2022,t,120628.14,I,Imputedvalue,
SCL,供应利用账目(2010-),764,泰国,5910,出口数量,1221,西瓜,2022,2022,t,2826.05,A,Officialfigure,
SCL,供应利用账目(2010-),764,泰国,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,107700.81,E,Estimatedvalue,
SCL,供应利用账目(2010-),764,泰国,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,0.84,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),764,泰国,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,4.12,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),414,科威特,5510,Production,1221,西瓜,2022,2022,t,819.84,I,Imputedvalue,
SCL,供应利用账目(2010-),414,科威特,5610,进口数量,1221,西瓜,2022,2022,t,40564.13,I,Imputedvalue,
SCL,供应利用账目(2010-),414,科威特,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,41306.12,E,Estimatedvalue,
SCL,供应利用账目(2010-),414,科威特,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,5.42,X,Figurefrominternationalorganizations,非正式数据
